name,rate,num_comment
肖申克的救赎/The Shawshank Redemption,9.7,3232142人评价
霸王别姬,9.6,2385649人评价
泰坦尼克号/Forrest Gump,9.5,2455107人评价
阿甘正传/千と千尋の神隠し,9.5,2395325人评价
千与千寻/La vita è bella,9.4,2495522人评价
美丽人生/Interstellar,9.5,1460217人评价
星际穿越/Léon,9.4,2135455人评价
这个杀手不太冷/Inception,9.4,2519713人评价
盗梦空间/The Truman Show,9.4,2290087人评价
楚门的世界/Schindler's List,9.4,1978774人评价
辛德勒的名单/Hachi: A Dog's Tale,9.5,1230584人评价
忠犬八公的故事/La leggenda del pianista sull'oceano,9.4,1522999人评价
海上钢琴师/Zootopia,9.3,1853566人评价
疯狂动物城/3 Idiots,9.3,2231679人评价
三傻大闹宝莱坞/WALL·E,9.2,2048024人评价
机器人总动员/Les choristes,9.3,1464683人评价
放牛班的春天/無間道,9.3,1451908人评价
无间道/Witness for the Prosecution,9.3,1538075人评价
控方证人/西遊記大結局之仙履奇緣,9.6,691506人评价
大话西游之大圣娶亲/도가니,9.2,1686337人评价
熔炉/Coco,9.3,1023098人评价
寻梦环游记/Intouchables,9.1,1941356人评价
触不可及/The Godfather,9.3,1272914人评价
教父/The Pursuit of Happyness,9.3,1087283人评价
末代皇帝/The Last Emperor,9.3,1011203人评价
哈利·波特与魔法石/Harry Potter and the Sorcerer's Stone,9.2,1394304人评价
龙猫/となりのトトロ,9.2,1392238人评价
活着,9.3,954468人评价
怦然心动/The Dark Knight,9.1,2022083人评价
蝙蝠侠：黑暗骑士/The Lord of the Rings: The Return of the King,9.2,1176227人评价
指环王3：王者无敌/Gone with the Wind,9.3,896100人评价
我不是药神,9.0,2321025人评价
乱世佳人/ハウルの動く城,9.3,779973人评价
飞屋环游记/12 Angry Men,9.1,1474971人评价
让子弹飞,9.0,1893317人评价
哈尔的移动城堡/소원,9.1,1265557人评价
十二怒汉/Catch Me If You Can,9.4,567167人评价
海蒂和爷爷/天空の城ラピュタ,9.3,758693人评价
素媛/Dangal,9.3,765278人评价
猫鼠游戏/Life of Pi,9.1,1186595人评价
天空之城/The Pianist,9.2,994304人评价
鬼子来了,9.3,704457人评价
摔跤吧！爸爸/Dead Poets Society,9.0,1722076人评价
少年派的奇幻漂流/西遊記第壹佰零壹回之月光寶盒,9.1,1472024人评价
钢琴家/كفرناحوم,9.3,737214人评价
闻香识女人/Scent of a Woman,9.1,1006778人评价
绿皮书/Green Book,8.9,1862307人评价
大闹天宫,9.4,500844人评价
黑客帝国/The Lord of the Rings: The Fellowship of the Ring,9.1,935029人评价
指环王1：护戒使者/Roman Holiday,9.1,944978人评价
罗马假日/The Godfather: Part II,9.1,1035298人评价
教父2/The Lion King,9.3,627793人评价
狮子王/Nuovo Cinema Paradiso,9.1,945862人评价
天堂电影院/飲食男女,9.2,732602人评价
饮食男女/변호인,9.2,711107人评价
辩护人/The Curious Case of Benjamin Button,9.2,650652人评价
本杰明·巴顿奇事/Fight Club,9.0,1090321人评价
搏击俱乐部/A Beautiful Mind,9.0,956584人评价
美丽心灵/The Boy in the Striped Pajamas,9.1,844212人评价
穿条纹睡衣的男孩/Love Letter,9.2,633052人评价
情书/Harry Potter and the Deathly Hallows: Part 2,8.9,1302525人评价
"哈利·波特与死亡圣器(下)/Lock, Stock and Two Smoking Barrels",9.0,955271人评价
两杆大烟枪/Das Leben der Anderen,9.1,666697人评价
窃听风暴/The Sound of Music,9.2,624407人评价
音乐之声/Malèna,9.1,674371人评价
功夫,8.9,1312206人评价
西西里的美丽传说/Avatar,8.9,1080695人评价
哈利·波特与阿兹卡班的囚徒/Contratiempo,9.0,874702人评价
拯救大兵瑞恩/Saving Private Ryan,9.1,715531人评价
沉默的羔羊/The Silence of the Lambs,8.9,1000806人评价
小鞋子/بچه های آسمان,9.2,456896人评价
飞越疯人院/One Flew Over the Cuckoo's Nest,9.1,596507人评价
布达佩斯大饭店/The Grand Budapest Hotel,8.9,1068320人评价
蝴蝶效应/The Butterfly Effect,8.9,1052802人评价
禁闭岛/Shutter Island,8.9,1097262人评价
心灵捕手/Good Will Hunting,9.0,804206人评价
致命魔术/The Prestige,8.9,952049人评价
低俗小说/Pulp Fiction,8.9,944491人评价
还有明天/C'è ancora domani,9.3,339389人评价
超脱/Detachment,9.0,710893人评价
哈利·波特与密室/Harry Potter and the Chamber of Secrets,8.9,900167人评价
喜剧之王/喜劇之王,8.8,1079989人评价
一一,9.1,492083人评价
摩登时代/살인의 추억,9.3,341281人评价
杀人回忆/Identity,8.9,823429人评价
致命ID/春光乍洩,8.9,933444人评价
春光乍泄/The Cove,9.0,701946人评价
海豚湾/Pirates of the Caribbean: The Curse of the Black Pearl,9.3,379491人评价
加勒比海盗/Once Upon a Time in America,8.8,955601人评价
美国往事/パプリカ,9.1,464825人评价
红辣椒/Se7en,9.0,558395人评价
七宗罪/唐伯虎點秋香,8.8,1047771人评价
狩猎/Jagten,9.1,461355人评价
幽灵公主/もののけ姫,8.9,659540人评价
甜蜜蜜,8.9,661193人评价
寄生虫/The Dark Knight Rises,8.8,1528667人评价
蝙蝠侠：黑暗骑士崛起/7번방의 선물,8.9,803994人评价
天书奇谭,9.2,327374人评价
7号房的礼物/Before Sunrise,8.9,615296人评价
超能陆战队/The Sixth Sense,8.8,1130259人评价
爱在黎明破晓前/Before Sunset,8.8,787229人评价
第六感/嫌われ松子の一生,8.9,628322人评价
爱在日落黄昏时/重慶森林,8.9,643548人评价
被嫌弃的松子的一生/Perfect Blue,8.8,767062人评价
茶馆,9.6,201788人评价
重庆森林/Inside Out,8.8,912254人评价
未麻的部屋/おくりびと,9.1,416923人评价
哈利·波特与火焰杯/借りぐらしのアリエッティ,8.8,787860人评价
头脑特工队/菊次郎の夏,8.8,788447人评价
入殓师/Edward Scissorhands,8.9,737105人评价
借东西的小人阿莉埃蒂/Brokeback Mountain,8.9,620142人评价
菊次郎的夏天/Braveheart,8.9,666633人评价
剪刀手爱德华/About Time,8.7,1111671人评价
断背山/Gone Girl,8.8,773333人评价
无人知晓/誰も知らない,9.1,367701人评价
倩女幽魂,8.8,827517人评价
驯龙高手/花樣年華,8.8,852614人评价
花样年华/Pride & Prejudice,8.8,791584人评价
傲慢与偏见/신세계,8.7,916408人评价
新世界/A Perfect World,8.9,518450人评价
完美的世界/En man som heter Ove,9.1,356341人评价
阳光灿烂的日子,8.8,687594人评价
一个叫欧维的男人决定去死/Le Fabuleux destin d'Amélie Poulain,8.9,559805人评价
小森林 夏秋篇/Toy Story 3,9.0,468767人评价
"天使爱美丽/Monsters, Inc.",8.7,1014130人评价
玩具总动员3/耳をすませば,8.9,583708人评价
怪兽电力公司/The Godfather: Part III,8.8,760064人评价
色，戒,8.7,946857人评价
侧耳倾听/The Terminal,8.9,515255人评价
教父3/Django Unchained,9.0,425856人评价
请以你的名字呼唤我/부산행,8.8,813933人评价
哪吒闹海,9.2,304175人评价
幸福终点站/Despicable Me,8.8,634128人评价
九品芝麻官,8.8,782805人评价
喜宴/囍宴,9.0,424236人评价
告白,8.8,736152人评价
玛丽和麦克斯/七人の侍,9.0,465231人评价
七武士/Ready Player One,9.3,231610人评价
头号玩家/The Imitation Game,8.6,1500699人评价
模仿游戏/Big Fish,8.8,713879人评价
大鱼/Psycho,8.8,621094人评价
惊魂记/射鵰英雄傳之東成西就,9.0,350065人评价
射雕英雄传之东成西就/Hacksaw Ridge,8.7,710975人评价
血战钢锯岭/君の名は。,8.7,852111人评价
你的名字。/I Am Sam,8.5,1576209人评价
我是山姆/Soul,9.0,372351人评价
背靠背，脸对脸,9.5,175243人评价
心灵奇旅/더 테러 라이브,8.7,1124714人评价
阳光姐妹淘/The Matrix Revolutions,8.8,633225人评价
恐怖直播/Saw,8.7,721300人评价
"黑客帝国3：矩阵革命/Three Billboards Outside Ebbing, Missouri",8.8,492374人评价
电锯惊魂/Joker,8.7,605207人评价
三块广告牌/The Bourne Ultimatum,8.7,911031人评价
小丑/Dallas Buyers Club,8.7,1116126人评价
谍影重重3/無間道II,8.9,465421人评价
达拉斯买家俱乐部/The Croods,8.8,501047人评价
无间道2/Thelma & Louise,8.8,559101人评价
绿里奇迹/The Green Mile,8.9,383357人评价
高山下的花环,9.5,152290人评价
爱在午夜降临前/海街diary,8.9,466369人评价
海街日记/風の谷のナウシカ,8.8,514656人评价
疯狂的石头,8.6,915993人评价
风之谷/Cidade de Deus,8.9,390441人评价
雨中曲/2001: A Space Odyssey,9.1,263925人评价
上帝之城/Robot Dreams,9.0,330449人评价
2001太空漫游/Memento,8.9,388253人评价
心迷宫,8.7,608554人评价
英雄本色,8.6,600311人评价
机器人之梦/Wreck-It Ralph,9.1,398722人评价
记忆碎片/万引き家族,8.7,662673人评价
纵横四海/Triangle,8.8,469526人评价
卢旺达饭店/牯嶺街少年殺人事件,8.9,363918人评价
无敌破坏王/Ice Age,8.7,605329人评价
小偷家族/東京ゴッドファーザーズ,8.7,888461人评价
恐怖游轮/魔女の宅急便,8.5,978110人评价
牯岭街少年杀人事件/歲月神偷,8.9,362566人评价
冰川时代/ハチ公物語,8.7,679521人评价
荒蛮故事/Relatos salvajes,8.7,511209人评价
遗愿清单/The Bucket List,8.7,530514人评价
大佛普拉斯,8.7,546261人评价
源代码/Mad Max: Fury Road,8.6,916979人评价
疯狂的麦克斯4：狂暴之路/おまえうまそうだな,8.7,611832人评价
你看起来好像很好吃/Slumdog Millionaire,8.9,371676人评价
贫民窟的百万富翁/花束みたいな恋をした,8.6,802087人评价
花束般的恋爱/City Lights,8.6,809167人评价
可可西里,8.9,342129人评价
城市之光/The Secret Life of Walter Mitty,9.3,170055人评价
波西米亚狂想曲/東邪西毒,8.6,682591人评价
白日梦想家/Whiplash,8.6,631990人评价
东邪西毒/La La Land,8.6,630363人评价
爆裂鼓手/Harry Potter and the Deathly Hallows: Part 1,8.6,682988人评价
青蛇,8.6,595657人评价
爱乐之城/Black Swan,8.4,1081837人评价
哈利·波特与死亡圣器(上)/Terminator 2: Judgment Day,8.6,685632人评价
无耻混蛋/สิ่งเล็กเล็กที่เรียกว่า...รัก,8.7,552887人评价
黑天鹅/新龍門客棧,8.6,840706人评价
终结者2：审判日/A.I. Artificial Intelligence,8.8,380469人评价
大红灯笼高高挂,8.8,362969人评价
崖上的波妞/崖の上のポニョ,8.6,568800人评价
千钧一发/Gattaca,8.8,344835人评价
虎口脱险/La grande vadrouille,8.9,291813人评价
罗生门/羅生門,8.8,354311人评价
真爱至上/Love Actually,8.5,798940人评价
哈利·波特与凤凰社/Harry Potter and the Order of the Phoenix,8.6,685066人评价
彗星来的那一夜/Coherence,8.6,674515人评价
恋恋笔记本/The Notebook,8.5,741258人评价
海边的曼彻斯特/Manchester by the Sea,8.6,642547人评价
火星救援/The Martian,8.5,822487人评价
黑客帝国2：重装上阵/The Matrix Reloaded,8.7,450711人评价
奇迹男孩/Wonder,8.6,596377人评价
步履不停/歩いても 歩いても,8.8,321778人评价
千年女优/千年女優,8.8,313840人评价
战争之王/Lord of War,8.7,411208人评价
萤火虫之墓/火垂るの墓,8.7,436171人评价
谍影重重2/The Bourne Supremacy,8.7,395237人评价
攻壳机动队/攻殻機動隊,9.0,213548人评价
蜘蛛侠：平行宇宙/Spider-Man: Into the Spider-Verse,8.6,749055人评价
冰雪奇缘/Frozen,8.5,812277人评价
血钻/Blood Diamond,8.7,418232人评价
魂断蓝桥/Waterloo Bridge,8.8,307644人评价
隐藏人物/Hidden Figures,8.9,266708人评价
房间/Room,8.7,397263人评价
小姐/아가씨,8.5,562398人评价
